Declared County/Area	State
OK	OK
Tulalip	WA
Colville 	WA
Moapa River 	NV
Pueblo of Santa Clara	NM
Pueblo of Acoma	NM
Fort Belknap 	MT
Red Lake 	MN
Bois Forte Nett Lake 	MN
Sac and Fox 	IA
Wind River 	WY
Red Cliff 	WI
Rosebud 	SD
Lower Brule 	SD
Flandreau 	SD
Crow Creek 	SD
Cheyenne River 	SD
Washington County	RI
Providence County	RI
Newport Country	RI
Santo Domingo Pueblo 	NM
Santa Clara Pueblo 	NM
Sandia Pueblo 	NM
San Felipe Pueblo 	NM
Pueblo of Taos	NM
Pueblo of Santa Ana	NM
Pueblo of San Felipe	NM
Pueblo of Pojoaque	NM
Pueblo of Picuris	NM
Mescalero Tribe	NM
Jemez Pueblo 	NM
Isleta Pueblo 	NM
Cochiti Pueblo 	NM
Rockingham County	NH
Hillsborough County	NH
Omaha 	NE
Spirit Lake Reservation	ND
Rocky Boy's 	MT
Fort Peck 	MT
White Earth 	MN
Upper Sioux Community 	MN
Mille Lacs 	MN
Grand Portage 	MN
Fond du Lac 	MN
York County	ME
Worcester County 	MA
Plymouth County	MA
Norfolk County	MA
Middlesex Country	MA
Essex County	MA
Bristol County	MA
Nez Perce 	ID
District of Columbia County	DC
New London County	CT
New Haven County	CT
Middlesex County	CT
Mashantucket Pequot 	CT
Litchfield County	CT
Hartford County	CT
Fairfield County	CT
Yurok 	CA
Karuk Reservation	CA
Hoopa Valley 	CA
Campo 	CA
San Carlos 	AZ
Hopi 	AZ
Havasupai 	AZ
Gila River 	AZ
Bon Homme Township of	SD
Siletz 	OR
Grand Ronde 	OR
Jefferson	TX
Harris	TX
Yellowstone	MT
East Baton Rouge	LA
Will	IL
Los Angeles	CA
Warm Springs 	OR
Washoe	NV
Pyramid Lake 	NV
Kiowa Township of	KS
